"distance","structure","dependency","condition","zscores","error","nn"
"Short","noIsland","RC","Adjunct",0.683644600249994,0.0443076361880151,186
"Short","noIsland","RC","EQ",0.852646697828063,0.0307712156662869,186
"Short","noIsland","RC","RC",0.659786290360981,0.0448526862942068,184
"Short","noIsland","RC","Subject",0.910924751154311,0.0290633165320611,186
"Short","noIsland","Wh","Adjunct",0.578068534529013,0.0474053011562526,184
"Short","noIsland","Wh","EQ",0.854203479287687,0.0352227019485935,184
"Short","noIsland","Wh","RC",0.555646149086019,0.0490314770896812,186
"Short","noIsland","Wh","Subject",0.816265602676663,0.0377916674122176,184
"Short","Island","RC","Adjunct",0.434377896078695,0.0507389043423018,184
"Short","Island","RC","EQ",0.928360285516993,0.0257181525258958,185
"Short","Island","RC","RC",1.03396458664345,0.0300665138554477,186
"Short","Island","RC","Subject",0.708936794944895,0.0401456493905227,186
"Short","Island","Wh","Adjunct",0.63798606824135,0.0443940258379965,184
"Short","Island","Wh","EQ",0.841185995402604,0.0305866903194536,185
"Short","Island","Wh","RC",1.02283084410193,0.0313512523182663,185
"Short","Island","Wh","Subject",0.814437118257681,0.0380643284442322,186
"Long","noIsland","RC","Adjunct",0.158005170008734,0.054799996095095,184
"Long","noIsland","RC","EQ",-0.00961441662216006,0.0545730162255348,186
"Long","noIsland","RC","RC",0.384954476488871,0.0489488877973434,185
"Long","noIsland","RC","Subject",0.221421321317924,0.0481126920666165,186
"Long","noIsland","Wh","Adjunct",0.660549054419919,0.0444198043355252,186
"Long","noIsland","Wh","EQ",0.279129980893059,0.0577156483707386,185
"Long","noIsland","Wh","RC",0.598959723756959,0.0500757615717097,185
"Long","noIsland","Wh","Subject",0.480342675573402,0.0483435387015024,186
"Long","Island","RC","Adjunct",-0.20570863765646,0.057207257359228,186
"Long","Island","RC","EQ",-0.0846855748390643,0.0570799817887504,185
"Long","Island","RC","RC",-0.215233358901159,0.0541577121672261,186
"Long","Island","RC","Subject",-0.651707764533852,0.0543341627621431,183
"Long","Island","Wh","Adjunct",0.255222259937668,0.0599541017483957,185
"Long","Island","Wh","EQ",-0.206922086405365,0.0645988936490318,184
"Long","Island","Wh","RC",0.588700078460333,0.0570728577790168,186
"Long","Island","Wh","Subject",-0.675935354887387,0.0517911050119132,185
