condition,distance,structure,path,log_probability,unattested_ngrams,dependency,n_gram
Subject,Short,noIsland,start SUBJ end,-3.2877911522759202,[],RC,Bigram
Subject,Short,Island,start SUBJ end,-3.2877911522759202,[],RC,Bigram
Subject,Long,noIsland,start COMP_nominal SUBJ end,-16.15031041182665,[],RC,Bigram
Subject,Long,Island,start COMP_nominal SUBJ ADJUNCT OBJ end,-32.300937111488956,"[('SUBJ', 'ADJUNCT')]",RC,Bigram
CNP,Short,noIsland,start SUBJ end,-3.2877911522759202,[],RC,Bigram
CNP,Short,Island,start SUBJ end,-3.2877911522759202,[],RC,Bigram
CNP,Long,noIsland,start COMP_nominal OBJ end,-14.660236636728701,[],RC,Bigram
CNP,Long,Island,start OBJ COMP_nominal OBJ end,-23.431059309570042,"[('OBJ', 'COMP_nominal')]",RC,Bigram
EQ,Short,noIsland,start SUBJ end,-3.2877911522759202,[],RC,Bigram
EQ,Short,Island,start SUBJ end,-3.2877911522759202,[],RC,Bigram
EQ,Long,noIsland,start COMP_nominal SUBJ end,-16.15031041182665,[],RC,Bigram
EQ,Long,Island,start COMP_wh-int SUBJ end,-18.202249546073354,[],RC,Bigram
EQ-object,Short,noIsland,start OBJ end,-4.328891768841603,[],RC,Bigram
EQ-object,Short,Island,start OBJ end,-4.328891768841603,[],RC,Bigram
EQ-object,Long,noIsland,start COMP_nominal OBJ end,-14.660236636728701,[],RC,Bigram
EQ-object,Long,Island,start COMP_wh-int OBJ end,-21.271470894591854,[],RC,Bigram
Whether-subject,Short,noIsland,start SUBJ end,-3.2877911522759202,[],RC,Bigram
Whether-subject,Short,Island,start SUBJ end,-3.2877911522759202,[],RC,Bigram
Whether-subject,Long,noIsland,start COMP_nominal SUBJ end,-16.15031041182665,[],RC,Bigram
Whether-subject,Long,Island,start COMP_pol-int SUBJ end,-22.36255207608725,[],RC,Bigram
Whether-object,Short,noIsland,start OBJ end,-4.328891768841603,[],RC,Bigram
Whether-object,Short,Island,start OBJ end,-4.328891768841603,[],RC,Bigram
Whether-object,Long,noIsland,start COMP_nominal OBJ end,-14.660236636728701,[],RC,Bigram
Whether-object,Long,Island,start COMP_pol-int OBJ end,-22.680238111563803,[],RC,Bigram
Adjunct,Short,noIsland,start SUBJ end,-3.2877911522759202,[],RC,Bigram
Adjunct,Short,Island,start SUBJ end,-3.2877911522759202,[],RC,Bigram
Adjunct,Long,noIsland,start COMP_nominal OBJ end,-14.660236636728701,[],RC,Bigram
Adjunct,Long,Island,start ADJUNCT_adv OBJ end,-26.176745673030283,"[('start', 'ADJUNCT_adv'), ('ADJUNCT_adv', 'OBJ')]",RC,Bigram
RC-predlink,Short,noIsland,start SUBJ end,-3.2877911522759202,[],RC,Bigram
RC-predlink,Short,Island,start PREDLINK end,-8.5769917275228,[],RC,Bigram
RC-predlink,Long,noIsland,start COMP_nominal OBJ end,-14.660236636728701,[],RC,Bigram
RC-predlink,Long,Island,start ADJUNCT_rel OBJ end,-26.176745673030283,"[('start', 'ADJUNCT_rel'), ('ADJUNCT_rel', 'OBJ')]",RC,Bigram
RC-subject,Short,noIsland,start SUBJ end,-3.2877911522759202,[],RC,Bigram
RC-subject,Short,Island,start SUBJ end,-3.2877911522759202,[],RC,Bigram
RC-subject,Long,noIsland,start COMP_nominal SUBJ end,-16.15031041182665,[],RC,Bigram
RC-subject,Long,Island,start ADJUNCT_rel SUBJ end,-25.85905963755373,"[('start', 'ADJUNCT_rel'), ('ADJUNCT_rel', 'SUBJ')]",RC,Bigram
RC-Pcomp,Short,noIsland,start SUBJ end,-3.2877911522759202,[],RC,Bigram
RC-Pcomp,Short,Island,start SUBJ end,-3.2877911522759202,[],RC,Bigram
RC-Pcomp,Long,noIsland,start COMP_nominal ADJUNCT OBJ end,-20.066459476613584,[],RC,Bigram
RC-Pcomp,Long,Island,start ADJUNCT_rel ADJUNCT OBJ end,-29.837729059322,"[('start', 'ADJUNCT_rel'), ('ADJUNCT_rel', 'ADJUNCT')]",RC,Bigram
